pr439,107217,"""119532""","""0.8969""",TRUE,"""1.6289"""
pcb442,50778,"""54876.""","""0.9253""",TRUE,"""3.0900"""
d493,35002,"""38393.""","""0.9116""",TRUE,"""5.3085"""
u574,36905,"""41337.""","""0.8927""",TRUE,"""8.2349"""
rat575,6773,"""7802.7""","""0.8680""",TRUE,"""9.5788"""
p654,34643,"""39244.""","""0.8827""",TRUE,"""1.5157"""
d657,48912,"""54738.""","""0.8935""",TRUE,"""12.610"""
u724,41910,"""47954.""","""0.8739""",TRUE,"""16.282"""
rat783,8806,"""10102.""","""0.8716""",TRUE,"""24.142"""
pr1002,259045,"""286233""","""0.9050""",TRUE,"""36.487"""
u1060,224094,"""249108""","""0.8995""",TRUE,"""49.381"""
vm1084,239297,"""260833""","""0.9174""",TRUE,"""25.017"""
pcb1173,56892,"""63392.""","""0.8974""",TRUE,"""45.300"""
d1291,50801,"""57930.""","""0.8769""",TRUE,"""12.282"""
rl1304,252948,"""278319""","""0.9088""",TRUE,"""12.485"""
rl1323,270199,"""298261""","""0.9059""",TRUE,"""12.672"""
nrw1379,56638,"""63845.""","""0.8871""",TRUE,"""161.95"""
fl1400,20127,"""22834.""","""0.8814""",TRUE,"""149.99"""
u1432,152970,"""171640""","""0.8912""",TRUE,"""49.312"""
fl1577,22249,"""24515.""","""0.9075""",TRUE,"""30.792"""
d1655,62128,"""70542.""","""0.8807""",TRUE,"""61.167"""
vm1748,336556,"""376240""","""0.8945""",TRUE,"""91.517"""
u1817,57201,"""66796.""","""0.8563""",TRUE,"""70.475"""
rl1889,316536,"""344691""","""0.9183""",TRUE,"""41.311"""
d2103,80450,"""84509.""","""0.9519""",TRUE,"""9.9300"""
u2152,64253,"""73917.""","""0.8692""",TRUE,"""109.17"""
u2319,234256,"""272766""","""0.8588""",TRUE,"""414.10"""
pr2392,378032,"""425979""","""0.8874""",TRUE,"""373.39"""
pcb3038,137694,"""154218""","""0.8928""",TRUE,"""780.65"""
fl3795,28772,"""31490.""","""0.9136""",TRUE,"""750.63"""
fnl4461,182566,N/A,N/A,N/A,N/A
rl5915,565530,N/A,N/A,N/A,N/A
rl5934,556045,N/A,N/A,N/A,N/A
rl11849,923368,N/A,N/A,N/A,N/A
usa13509,19982889,N/A,N/A,N/A,N/A
brd14051,469445,N/A,N/A,N/A,N/A
d15112,1573152,N/A,N/A,N/A,N/A
d18512,645488,N/A,N/A,N/A,N/A
